INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2020,TURMA_2022,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-1,2,H,Não,"7,80",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,50","8,70","7,50","7,00","5,90","7,70","10,00"
,ALUNO-2,,,,,,,,,,,,,,,
Escola Pública,ALUNO-3,3,H,Não,"7,80",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","7,92","8,90","7,50","5,50","8,00","8,10","10,00"
Escola Pública,ALUNO-4,1,D,Não,"5,10",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,00","4,10","6,88","0,00","7,10","7,70","5,00"
Escola Pública,ALUNO-5,2,M,Não,"8,10",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","7,50","8,00","7,50","7,50","8,40","8,10","10,00"
,ALUNO-6,,,,,,,,,,,,,,,
,ALUNO-7,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-8,4,L,Sim,"8,40",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,33","9,90","4,38","7,30","8,70","8,94","10,00"
,ALUNO-9,,,,,,,,,,,,,,,
Escola Pública,ALUNO-10,3,B,Não,"5,10",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","5,83","5,20","3,75","0,00","7,97","6,80","10,00"
Escola Pública,ALUNO-11,0,A,Sim,"9,70",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,00","10,00","8,13","10,00","10,00","1,00","10,00"
Rede Decisão/União,ALUNO-12,3,G,Não,"5,80",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","6,20","6,00","5,63","6,60","5,60","5,20","5,00"
,ALUNO-13,,,,,,,,,,,,,,,
Escola Pública,ALUNO-14,2,M,Não,"6,40",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,00","7,60","6,88","0,00","8,40","7,90","10,00"
Escola Pública,ALUNO-15,2,D,Não,"5,10",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,50","4,00","7,50","0,00","8,00","7,20","5,00"
,ALUNO-16,,,,,,,,,,,,,,,
Escola Pública,ALUNO-17,1,G,Não,"7,70",Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,50","6,80","7,50","10,00","6,50","7,70","5,00"
Escola Pública,ALUNO-18,3,E,Não,"7,20",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,58","7,00","7,50","6,50","7,00","7,90","5,00"
,ALUNO-19,,,,,,,,,,,,,,,
,ALUNO-20,,,,,,,,,,,,,,,
,ALUNO-21,,,,,,,,,,,,,,,
,ALUNO-22,,,,,,,,,,,,,,,
,ALUNO-23,,,,,,,,,,,,,,,
,ALUNO-24,,,,,,,,,,,,,,,
,ALUNO-25,,,,,,,,,,,,,,,
,ALUNO-26,,,,,,,,,,,,,,,
,ALUNO-27,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-28,3,J,Sim,"9,30",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,58","9,60","6,88","9,00","10,00","9,90","10,00"
,ALUNO-29,,,,,,,,,,,,,,,
Escola Pública,ALUNO-30,0,C,Não,"7,10",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","7,90","10,00","7,50","4,70","2,50","6,90","10,00"
,ALUNO-31,,,,,,,,,,,,,,,
,ALUNO-32,,,,,,,,,,,,,,,
Escola Pública,ALUNO-33,3,E,Não,"7,00",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","6,67","4,50","7,50","8,60","7,00","6,20","10,00"
Escola Pública,ALUNO-34,2,C,Não,"7,60",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,50","9,30","6,88","7,00","8,00","7,90","5,00"
Escola Pública,ALUNO-35,7,B,Não,"6,64",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,75","6,10","6,25","5,00","7,66","8,29","5,00"
Escola Pública,ALUNO-36,3,C,Não,"8,30",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,58","9,90","7,50","8,00","8,70","8,20","5,00"
Escola Pública,ALUNO-37,2,N,Não,"6,60",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","10,00","7,70","4,38","2,50","6,40","7,78","10,00"
,ALUNO-38,,,,,,,,,,,,,,,
Escola Pública,ALUNO-39,3,F,Não,"8,10",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","6,25","9,40","7,50","8,30","8,50","6,70","10,00"
,ALUNO-40,,,,,,,,,,,,,,,
Escola Pública,ALUNO-41,1,D,Não,"7,40",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,00","8,30","7,50","7,20","7,50","7,70","5,00"
,ALUNO-42,,,,,,,,,,,,,,,
